"EMP_ID"	"FIRST_NAME"	"LAST_NAME"	"LASTFOUR_SSN"	"CO_MOBILE"	"CO_EMAIL"	"ACTION"	"ACTION_DATE"	"JOB_TITLE"	"SUPERVISOR_ID"	"DEPT_CODE"
42	"Mark"	"Juice"	"2587"	"555-555-6666"	"markj@abcco.com"	"HIRE"	29-AUG-2022 09:52:34 AM	"Web Developer"	902	"ITHELP    "
44	"Stephanie"	"Ferguson"	"6566"	"555-333-6666"	"sfergus@abcco.com"	"HIRE"	29-APR-2022 08:08:15 AM	"IT Technical Support Specialist"	312	"ITHELP    "
222	"Tatiana"	"De Los Gatos"	"7410"	"713-555-7777"	"tsantacruz@abcco.com"	"HIRE"	01-JUL-2022 06:13:14 AM	"IT Technical Support Specialist"	2	"ITHELP    "
46	"John"	"Targaryen"	"6566"	"888-333-6666"	"jtargaryen@abcco.com"	"HIRE"	28-AUG-2022 09:55:10 AM	"HR Analyst"	1107	"HR        "
777	"Sterling"	"Boykin"	"1234"	"713-777-4444"	"sboykin@abcco.com"	"HIRE"	01-AUG-2022 06:13:14 AM	"Intern"	2	"ACCT      "
133	"Jeff"	"Brown"	"1256"	"713-456-7890"	"jbrown@abcco.com"	"HIRE"	25-AUG-2022 09:53:30 AM	"IT Technical Support Specialist"	1	"ITHELP    "
134	"Steve"	"Kraft"	"1891"	"832-654-0987"	"skraft@abcco.com"	"HIRE"	30-AUG-2022 10:35:15 AM	"Onboarding Specialist"	2	"HR        "
523	"David"	"Ngo"	"4145"	"832-127-0717"	"Dngo@abcco.com"	"CHANGE JOB TITLE"	30-JUN-2022 04:00:36 PM	"Vice President of Accounting"	901	"ACCT      "
943	"Steven"	"Smith"	"1904"	"-4857"	"SSmith@abcco.com"	"HIRE"	01-FEB-2022 01:06:40 PM	"IT Logistics Manager"		"ITHELP    "
298	"Rain"	"Fountain"	"4494"	"823-432-8844"	"rdfont@abcco.com"	"HIRE"	24-JUN-2022 09:53:35 AM	"Recruiter"	1	"HR        "
299	"Ronald"	"Bush"	"8993"	"781-454-6868"	"rmbush@abcco.com"	"HIRE"	11-MAY-2022 11:16:03 AM	"Systems Analyst"	2	"ITHELP    "
247	"John"	"Stevenson"	"589 "	"832-432-8774"	"jstevenson@abcco.com"	"HIRE"	22-JUN-2022 08:53:35 AM	"Systems Analyst"	4	"ITHELP    "
248	"Bob"	"Johnson"	"1290"	"832-423-7777"	"bjohnson@abcco.com"	"HIRE"	22-JUN-2022 08:53:35 AM	"Automation Tech"	4	"ITHELP    "
149	"Johnathon"	"Freeman"	"7924"	"281-482-2354"	"johnafree@abcco.com"	"HIRE"	06-SEP-2022 08:00:35 AM	"Finance Intern"	200	"FIN       "
150	"Samantha"	"Woo"	"8368"	"832-433-9736"	"samwoo@abcco.com"	"HIRE"	07-SEP-2021 08:00:00 AM	"IT Technical Support Specialist"	1	"ITHELP    "
311	"Seth"	"Esparza"	"1111"	"-111"	"seth@abcco.com"	"HIRE"	01-JUN-2022 12:00:00 AM	"Intern"		"HR        "
312	"Abraham"	"Lincoln"	"2222"	"222-222-2222"	"al@abcco.com"	"HIRE"	01-MAY-2022 12:00:00 AM	"IT Help Desk Manager"	361	"ITHELP    "
219	"Emily"	"Taylor"	"4738"	"832-746-4407"	"emily.tay@abcco.com"	"HIRE"	22-JUN-2022 10:36:27 AM	"Data Analyst"	2	"HR        "
226	"Michelle"	"Rodriguez"	"6758"	"713-098-0786"	"mhrodri99@abcco.com"	"HIRE"	09-SEP-2022 12:00:00 AM	"Project Manager"		"MARK      "
351	"Shalini"	"Patel"	"2314"	"281-716-0217"	"shalinipatel@abcco.com"	"HIRE"	01-AUG-2022 08:00:00 AM	"IT Consultant"		"ITSEC     "
353	"Janki"	"Prajapati"	"2315"	"281-716-0218"	"jankipra@abcco.com"	"HIRE"	01-JUN-2022 08:00:00 AM	"IT Technical Support Specialist"		"ITHELP    "
354	"Priya"	"Paul"	"2316"	"281-716-0219"	"priyapaul@abcco.com"	"HIRE"	01-AUG-2021 08:00:00 AM	"IT Help Desk Manager"		"ITHELP    "
227	"Jose"	"Mendez"	"9610"	"713-457-2380"	"jmendez012@abcco.com"	"HIRE"	09-SEP-2022 12:00:00 AM	"Software Developer"		"ITHELP    "
228	"Michael"	"Myers"	"4917"	"281-950-2685"	"mmyers56@abcco.com"	"HIRE"	09-SEP-2022 12:00:00 AM	"Information Security Analyst"		"ITHELP    "
281	"James"	"Duncan"	"2475"	"832-340-9650"	"jduncan@abcco.com"	"HIRE"	22-JUL-2022 08:53:35 PM	"Bookkeeping clerk"	1	"ACCT      "
283	"Mark"	"Davis"	"3234"	"832-645-8658"	"mdavis@abcco.com"	"HIRE"	22-JUN-2022 08:53:35 PM	"IT Technical Support Specialist"	2	"ITHELP    "
4441	"Byron"	"Hernandez"	"1120"	"281-110-2441"	"byronhernandez@abcco.com"	"HIRE"	01-JAN-2022 06:00:11 AM	"IT Head"	11	"ITHELP    "
4449	"Brian"	"Chavez"	"9900"	"281-330-8054"	"brichavez@abcco.com"	"HIRE"	01-SEP-2022 08:52:11 AM	"IT Help"	11	"ITHELP    "
690	"Juan"	"Barbosa"	"6969"	"832-111-2222"	"jbarbosa@abcco.com"	"HIRE"	01-AUG-2022 09:00:00 AM	"IT Technical Support Specialist"	1	"ITHELP    "
420	"Stephen"	"Medina"	"4200"	"832-222-1111"	"smedina@abcco.com"	"HIRE"	04-AUG-2022 10:30:00 AM	"Graphic Designer"	1	"MARK      "
303	"Rene"	"Fuentes"	"6147"	"832-456-8764"	"rdfuentes@abcco.com"	"HIRE"	15-JUN-2022 09:55:35 AM	"Recruiter"	2	"HR        "
544	"Ron"	"Baker"	"8983"	"281-455-6758"	"ronb@abcco.com"	"HIRE"	17-MAY-2022 10:16:03 AM	"Systems Analyst"	1	"HR        "
1402	"Marianne"	"Forbes"	"6943"	"821-367-2976"	"mforbes@abcco.com"	"HIRE"	01-SEP-2023 12:00:00 AM	"IT Technical Support Specialist"	1	"ITHELP    "
1403	"Everett"	"Adams"	"3924"	"821-367-7612"	"eadams@abcco.com"	"HIRE"	02-SEP-2023 12:00:00 AM	"Accountant"	1	"ACCT      "
567	"Trish"	"Hope"	"1995"	"832-123-4567"	"htrish@abcco.com"	"CHANGE JOB TITLE"	01-JAN-2021 12:00:00 AM	"IT Executive Support Manager"	104	"ITHELP    "
568	"Sadiq"	"Scott"	"1996"	"832-123-7890"	"sscott@abcco.com"	"HIRE"	02-JAN-2021 12:00:00 AM	"IT Technical Support Specialist"	567	"ITHELP    "
569	"Mark"	"Henry"	"1999"	"832-127-8860"	"mhenry@abcco.com"	"HIRE"	05-JAN-2021 12:00:00 AM	"Office Manager"		"EXADMIN   "
363	"Robie"	"Womack"	"3987"	"763-348-9930"	"robiew@abcco.com"	"HIRE"	19-AUG-2022 09:46:35 AM	"Director of Accounting"	523	"ACCT      "
364	"Drake"	"Aubrey"	"4832"	"281-887-3417"	"drakea@abcco.com"	"HIRE"	12-OCT-2022 08:44:18 AM	"IT Technical Support Specialist"	44	"ITHELP    "
365	"Onyi"	"Igwe"	"9088"	"832-890-1267"	"onyii@abcco.com"	"HIRE"	29-JAN-2022 11:39:51 AM	"IT Help Desk Manager"		"ITHELP    "
965	"Cris"	"Johanson"	"6565"	""	"crisj905@abcco.com"	"HIRE"	30-SEP-2022 12:00:00 AM	"Hiring Assistant"		"HR        "
